week,shop,unknown,product/pack-permis-complet,product/pack-permis-complet-sans-code,product/pack-permis-complet-sans-code-lead,product/pack-permis-complet-revolut,product/pack-permis-complet-boite-automatique,emailcrm,product/pack-permis-complet-boite-automatique-sans-code,product/pack-permis-complet-boite-automatique-sans-code-lead,product/pack-5h,product/pack-10h,product/conduite-accompagnee-first,product/pack-20h,product/pack-permis-complet-boite-automatique-revolut,emailcrmheader,product/pack-5h-boite-automatique,product/pack-10h-boite-automatique,checkout/pack-permis-complet,product/conduite-accompagnee-boite-automatique-first,checkout/pack-permis-complet-sans-code,infocards,checkout/pack-permis-complet-sans-code-lead,checkout/pack-permis-complet-boite-automatique,checkout/pack-permis-complet-revolut,checkout/pack-permis-complet-boite-automatique-sans-code-lead,checkout/pack-5h,checkout/conduite-accompagnee-first,checkout/pack-permis-complet-boite-automatique-sans-code,checkout/pack-5h-boite-automatique,product/rendez-vous-pedagogiques,checkout/pack-10h,checkout/pack-permis-complet-boite-automatique-revolut,chatbot_support,product/pack-permis-casa-nord-france,home_widget,checkout/pack-10h-boite-automatique,checkout/pack-20h,checkout/conduite-accompagnee-boite-automatique-first,product/pack-permis-boite-automatique-casa-nord-france,product/rendez-vous-pedagogiques-automatique,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,checkout/pack-permis-complet-et-reussite-code-plus,checkout/pack-permis-casa-nord-france,checkout/rendez-vous-pedagogiques,checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,checkout/pack-permis-boite-automatique-casa-nord-france,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,permis_widget
2026-W01,147,5,35,39,28,0,12,6,15,20,11,5,8,0,0,0,8,4,3,4,2,0,2,1,0,1,1,0,2,1,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-W02,554,21,212,134,105,0,63,42,49,57,37,38,51,0,0,0,17,14,16,15,13,0,11,5,0,3,1,4,4,4,3,1,0,26,0,2,2,0,3,0,0,0,1,0,0,0,0,0,0,0
2026-W03,628,31,235,128,107,0,79,41,56,61,54,29,53,0,0,0,19,21,22,11,15,0,9,9,0,6,0,4,4,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-W04,731,37,197,142,100,0,87,45,55,59,39,37,60,0,0,0,15,22,22,24,11,0,8,4,0,4,3,8,0,0,3,1,0,0,0,2,1,0,1,0,2,0,0,0,1,2,0,0,0,0
2026-W05,732,39,106,94,40,0,30,17,32,34,24,15,22,0,0,0,11,10,15,5,5,0,3,4,0,1,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W06,502,25,112,61,50,0,46,32,41,24,19,21,18,0,0,0,11,9,10,9,7,0,0,5,0,2,0,5,5,1,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0
2026-W07,665,64,148,89,76,0,50,74,48,32,27,28,27,11,0,0,11,15,13,8,5,0,7,3,0,5,3,7,1,1,1,2,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0
2026-W08,768,72,99,76,78,71,40,38,33,22,43,47,7,28,20,0,14,15,6,2,6,0,8,4,4,1,5,2,1,0,3,4,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2026-W09,620,67,108,115,93,115,35,41,53,48,48,46,6,26,31,0,22,15,10,5,2,0,8,1,2,4,5,0,2,1,2,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-W10,668,232,179,145,163,98,75,41,65,64,61,46,3,32,26,0,20,24,10,1,12,145,7,6,8,4,2,0,4,0,4,1,5,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
