week,shop,unknown,product/pack-permis-complet,product/pack-permis-complet-sans-code,product/pack-permis-complet-sans-code-lead,product/pack-permis-complet-revolut,product/pack-permis-complet-boite-automatique,emailcrm,product/pack-permis-complet-boite-automatique-sans-code,product/pack-permis-complet-boite-automatique-sans-code-lead,product/pack-5h,product/pack-10h,product/conduite-accompagnee-first,product/pack-20h,product/pack-permis-complet-boite-automatique-revolut,emailcrmheader,product/pack-5h-boite-automatique,product/pack-10h-boite-automatique,checkout/pack-permis-complet,product/conduite-accompagnee-boite-automatique-first,checkout/pack-permis-complet-sans-code,infocards,checkout/pack-permis-complet-sans-code-lead,checkout/pack-permis-complet-boite-automatique,checkout/pack-permis-complet-revolut,checkout/pack-permis-complet-boite-automatique-sans-code-lead,checkout/pack-5h,checkout/conduite-accompagnee-first,checkout/pack-permis-complet-boite-automatique-sans-code,checkout/pack-5h-boite-automatique,product/rendez-vous-pedagogiques,checkout/pack-10h,checkout/pack-permis-complet-boite-automatique-revolut,chatbot_support,product/pack-permis-casa-nord-france,home_widget,checkout/pack-10h-boite-automatique,checkout/pack-20h,checkout/conduite-accompagnee-boite-automatique-first,product/pack-permis-boite-automatique-casa-nord-france,product/rendez-vous-pedagogiques-automatique,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,checkout/pack-permis-complet-et-reussite-code-plus,checkout/pack-permis-casa-nord-france,checkout/rendez-vous-pedagogiques,checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,checkout/pack-permis-boite-automatique-casa-nord-france,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,permis_widget
2026-W01,38.2,100.0,31.2,29.6,45.5,0,30.0,20.0,54.5,29.4,20.0,0.0,60.0,0,0,0,40.0,0.0,50.0,75.0,0,0,50.0,100.0,0,0.0,0.0,0,0.0,100.0,0,0,0,33.3,0,0.0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0
2026-W02,38.5,57.1,34.5,57.1,64.6,0,42.0,34.3,45.0,35.7,22.2,33.3,47.6,0,0,0,30.8,41.7,23.1,66.7,81.8,0,62.5,33.3,0,0.0,100.0,75.0,0.0,50.0,0.0,0,0,35.0,0,100.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2026-W03,32.9,54.5,31.9,40.4,47.6,0,40.6,31.2,43.5,46.3,17.5,42.1,40.0,0,0,0,27.3,33.3,20.0,60.0,50.0,0,37.5,50.0,0,60.0,0,100.0,50.0,0.0,0.0,0.0,0,0,0,100.0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0
2026-W04,34.3,51.9,37.9,48.1,45.8,0,33.9,36.6,52.4,44.4,8.0,28.6,42.6,0,0,0,42.9,46.2,0.0,31.6,57.1,0,80.0,0.0,0,0.0,33.3,50.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0
2026-W05,73.8,180.6,43.2,85.9,85.7,0,73.9,100.0,86.4,70.0,36.8,28.6,77.8,0,0,0,44.4,37.5,45.5,0.0,150.0,0,0,100.0,0,0,0,0,300.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W06,83.5,235.7,82.6,152.9,104.2,0,54.8,104.8,104.0,147.1,53.8,69.2,150.0,0,0,0,33.3,42.9,185.7,66.7,175.0,0,0,25.0,0,300.0,0,100.0,100.0,0,0,0.0,0,0,0,0,0,0,100.0,0,0.0,0,0,0,0,0,0,100.0,0,0
2026-W07,47.0,92.7,45.4,52.9,80.4,0,25.0,63.5,71.1,71.4,31.2,52.4,45.0,12.5,0,0,120.0,30.0,20.0,60.0,66.7,0,66.7,0.0,0,50.0,100.0,33.3,0,0.0,0.0,50.0,0,0,0,66.7,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,100.0,0
2026-W08,36.2,47.3,33.8,51.5,41.7,32.0,43.5,41.9,36.0,33.3,30.0,30.0,33.3,0.0,33.3,0,8.3,66.7,100.0,100.0,40.0,0,100.0,0.0,25.0,100.0,50.0,50.0,100.0,0,0.0,33.3,33.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2026-W09,28.9,27.5,30.9,46.1,44.2,34.8,32.1,27.8,54.8,45.2,16.7,30.0,50.0,0.0,33.3,0,40.0,35.7,28.6,40.0,100.0,0,25.0,0.0,50.0,66.7,50.0,0,0.0,0,0.0,0,0.0,0,0,0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W10,30.3,30.7,44.3,50.4,43.2,42.5,26.6,40.5,52.8,50.0,20.0,36.4,0,0.0,47.6,0,58.3,26.3,22.2,0.0,50.0,39.3,50.0,16.7,14.3,100.0,50.0,0,0.0,0,0.0,100.0,0.0,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
