week,shop,unknown,product/pack-permis-complet,product/pack-permis-complet-sans-code,product/pack-permis-complet-sans-code-lead,product/pack-permis-complet-revolut,product/pack-permis-complet-boite-automatique,emailcrm,product/pack-permis-complet-boite-automatique-sans-code,product/pack-permis-complet-boite-automatique-sans-code-lead,product/pack-5h,product/pack-10h,product/conduite-accompagnee-first,product/pack-20h,product/pack-permis-complet-boite-automatique-revolut,emailcrmheader,product/pack-5h-boite-automatique,product/pack-10h-boite-automatique,checkout/pack-permis-complet,product/conduite-accompagnee-boite-automatique-first,checkout/pack-permis-complet-sans-code,infocards,checkout/pack-permis-complet-sans-code-lead,checkout/pack-permis-complet-boite-automatique,checkout/pack-permis-complet-revolut,checkout/pack-permis-complet-boite-automatique-sans-code-lead,checkout/pack-5h,checkout/conduite-accompagnee-first,checkout/pack-permis-complet-boite-automatique-sans-code,checkout/pack-5h-boite-automatique,product/rendez-vous-pedagogiques,checkout/pack-10h,checkout/pack-permis-complet-boite-automatique-revolut,chatbot_support,product/pack-permis-casa-nord-france,home_widget,checkout/pack-10h-boite-automatique,checkout/pack-20h,checkout/conduite-accompagnee-boite-automatique-first,product/pack-permis-boite-automatique-casa-nord-france,product/rendez-vous-pedagogiques-automatique,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,checkout/pack-permis-complet-et-reussite-code-plus,checkout/pack-permis-casa-nord-france,checkout/rendez-vous-pedagogiques,checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,checkout/pack-permis-boite-automatique-casa-nord-france,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,permis_widget
2026-W01,156,5,39,41,30,0,14,6,17,20,11,6,8,0,0,0,8,4,3,5,2,0,2,1,0,1,2,1,2,1,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-W02,735,35,276,179,146,0,90,55,63,75,51,48,77,0,0,0,24,23,28,26,20,0,13,7,0,3,2,5,4,6,4,3,0,30,0,2,2,0,4,0,0,0,1,0,0,0,0,0,0,0
2026-W03,704,37,265,156,125,0,89,43,62,67,61,41,62,0,0,0,19,26,24,13,15,0,11,11,0,7,0,4,4,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-W04,831,47,230,156,117,0,99,50,61,68,42,50,78,0,0,0,16,27,24,30,16,0,11,7,0,8,3,10,0,0,3,1,0,0,0,2,1,0,1,0,2,0,0,0,1,2,0,0,0,0
2026-W05,1707,136,282,235,126,0,97,61,92,76,62,47,70,0,0,0,27,32,29,23,26,0,9,18,0,3,3,9,10,5,2,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-W06,1681,117,420,239,181,0,169,122,113,100,68,72,77,0,0,0,28,32,39,38,30,0,12,17,0,12,2,12,10,5,0,5,0,0,0,4,1,0,5,0,1,0,0,0,0,0,0,1,0,1
2026-W07,1226,147,277,156,137,0,114,160,77,62,49,51,38,14,0,0,21,25,34,16,12,0,12,7,0,7,4,12,7,2,3,3,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0
2026-W08,939,103,126,97,101,101,49,58,42,33,54,54,8,28,27,0,18,22,9,2,11,0,9,4,4,1,6,4,2,2,3,5,3,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0
2026-W09,638,70,116,117,99,119,38,45,55,50,52,46,6,28,36,0,24,17,10,6,2,0,8,1,3,4,5,0,2,1,2,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-W10,715,258,193,154,179,109,79,47,70,66,68,49,3,32,31,0,23,25,13,1,12,152,8,6,8,4,3,0,4,0,4,1,6,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0
