week,shop,unknown,product/pack-permis-complet,product/pack-permis-complet-sans-code,product/pack-permis-complet-sans-code-lead,product/pack-permis-complet-revolut,product/pack-permis-complet-boite-automatique,emailcrm,product/pack-permis-complet-boite-automatique-sans-code,product/pack-permis-complet-boite-automatique-sans-code-lead,product/pack-5h,product/pack-10h,product/conduite-accompagnee-first,product/pack-20h,product/pack-permis-complet-boite-automatique-revolut,emailcrmheader,product/pack-5h-boite-automatique,product/pack-10h-boite-automatique,checkout/pack-permis-complet,product/conduite-accompagnee-boite-automatique-first,checkout/pack-permis-complet-sans-code,infocards,checkout/pack-permis-complet-sans-code-lead,checkout/pack-permis-complet-boite-automatique,checkout/pack-permis-complet-revolut,checkout/pack-permis-complet-boite-automatique-sans-code-lead,checkout/pack-5h,checkout/conduite-accompagnee-first,checkout/pack-permis-complet-boite-automatique-sans-code,checkout/pack-5h-boite-automatique,product/rendez-vous-pedagogiques,checkout/pack-10h,checkout/pack-permis-complet-boite-automatique-revolut,chatbot_support,product/pack-permis-casa-nord-france,home_widget,checkout/pack-10h-boite-automatique,checkout/pack-20h,checkout/conduite-accompagnee-boite-automatique-first,product/pack-permis-boite-automatique-casa-nord-france,product/rendez-vous-pedagogiques-automatique,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,checkout/pack-permis-complet-et-reussite-code-plus,checkout/pack-permis-casa-nord-france,checkout/rendez-vous-pedagogiques,checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,checkout/pack-permis-boite-automatique-casa-nord-france,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,permis_widget
2026-W01,47,4,10,8,10,0,3,1,6,5,1,0,3,0,0,0,2,0,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-W02,180,8,61,64,53,0,21,12,18,15,6,10,20,0,0,0,4,5,3,8,9,0,5,1,0,0,1,3,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W03,164,12,53,36,40,0,26,10,20,19,7,8,18,0,0,0,3,5,3,6,7,0,3,3,0,3,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-W04,201,14,55,52,33,0,19,15,22,20,2,8,20,0,0,0,3,6,0,6,4,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W05,442,56,32,55,30,0,17,11,19,21,7,4,14,0,0,0,4,3,5,0,6,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W06,304,33,57,52,25,0,17,22,26,25,7,9,9,0,0,0,3,3,13,4,7,0,2,1,0,3,1,4,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0
2026-W07,234,38,44,37,37,0,8,33,27,20,5,11,9,1,0,0,6,3,2,3,2,0,4,0,0,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-W08,225,26,24,34,25,16,10,13,9,5,9,9,1,0,4,0,1,6,3,1,2,0,5,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W09,154,14,25,41,34,32,9,10,23,19,6,12,3,0,9,0,8,5,2,2,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W10,174,47,66,57,57,31,17,15,28,27,10,12,0,0,10,0,7,5,2,0,5,44,3,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
