week,shop,unknown,product/pack-permis-complet,product/pack-permis-complet-sans-code,product/pack-permis-complet-sans-code-lead,product/pack-permis-complet-revolut,product/pack-permis-complet-boite-automatique,emailcrm,product/pack-permis-complet-boite-automatique-sans-code,product/pack-permis-complet-boite-automatique-sans-code-lead,product/pack-5h,product/pack-10h,product/conduite-accompagnee-first,product/pack-20h,product/pack-permis-complet-boite-automatique-revolut,emailcrmheader,product/pack-5h-boite-automatique,product/pack-10h-boite-automatique,checkout/pack-permis-complet,product/conduite-accompagnee-boite-automatique-first,checkout/pack-permis-complet-sans-code,infocards,checkout/pack-permis-complet-sans-code-lead,checkout/pack-permis-complet-boite-automatique,checkout/pack-permis-complet-revolut,checkout/pack-permis-complet-boite-automatique-sans-code-lead,checkout/pack-5h,checkout/conduite-accompagnee-first,checkout/pack-permis-complet-boite-automatique-sans-code,checkout/pack-5h-boite-automatique,product/rendez-vous-pedagogiques,checkout/pack-10h,checkout/pack-permis-complet-boite-automatique-revolut,chatbot_support,product/pack-permis-casa-nord-france,home_widget,checkout/pack-10h-boite-automatique,checkout/pack-20h,checkout/conduite-accompagnee-boite-automatique-first,product/pack-permis-boite-automatique-casa-nord-france,product/rendez-vous-pedagogiques-automatique,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,checkout/pack-permis-complet-et-reussite-code-plus,checkout/pack-permis-casa-nord-france,checkout/rendez-vous-pedagogiques,checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,checkout/pack-permis-boite-automatique-casa-nord-france,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,permis_widget
2026-W01,83.7,80.0,91.4,69.2,78.6,0,83.3,83.3,73.3,85.0,45.5,60.0,62.5,0,0,0,62.5,75.0,66.7,100.0,0.0,0,100.0,100.0,0,100.0,100.0,0,50.0,100.0,0,0,0,100.0,0,100.0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0
2026-W02,84.3,66.7,83.5,83.6,78.1,0,79.4,83.3,81.6,73.7,73.0,78.9,82.4,0,0,0,76.5,85.7,81.2,80.0,84.6,0,72.7,60.0,0,100.0,100.0,100.0,50.0,50.0,66.7,0.0,0,76.9,0,50.0,100.0,0,0.0,0,0,0,100.0,0,0,0,0,0,0,0
2026-W03,79.3,71.0,70.6,69.5,78.5,0,81.0,78.0,82.1,67.2,74.1,65.5,84.9,0,0,0,57.9,71.4,68.2,90.9,93.3,0,88.9,66.7,0,83.3,0,75.0,100.0,50.0,100.0,100.0,0,0,0,100.0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0
2026-W04,80.2,73.0,73.6,76.1,72.0,0,64.4,91.1,76.4,76.3,64.1,75.7,78.3,0,0,0,46.7,59.1,72.7,79.2,63.6,0,62.5,100.0,0,75.0,100.0,50.0,0,0,100.0,100.0,0,0,0,100.0,0.0,0,0.0,0,100.0,0,0,0,100.0,50.0,0,0,0,0
2026-W05,81.8,79.5,69.8,68.1,87.5,0,76.7,64.7,68.8,88.2,79.2,93.3,81.8,0,0,0,81.8,80.0,73.3,40.0,80.0,0,0.0,75.0,0,0.0,0,0.0,50.0,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W06,72.5,56.0,61.6,55.7,48.0,0,67.4,65.6,61.0,70.8,68.4,61.9,33.3,0,0,0,81.8,77.8,70.0,66.7,57.1,0,0,80.0,0,50.0,0,80.0,60.0,0.0,0,100.0,0,0,0,0,0.0,0,100.0,0,100.0,0,0,0,0,0,0,100.0,0,0
2026-W07,74.9,64.1,65.5,78.7,60.5,0,64.0,70.3,79.2,87.5,59.3,75.0,74.1,72.7,0,0,45.5,66.7,76.9,62.5,60.0,0,85.7,66.7,0,80.0,33.3,42.9,0.0,100.0,100.0,100.0,0,0,0,100.0,100.0,0,100.0,0,0,100.0,0,0,0,0,0,0,100.0,0
2026-W08,81.0,76.4,71.7,86.8,76.9,70.4,57.5,81.6,75.8,68.2,69.8,63.8,42.9,89.3,60.0,0,85.7,60.0,50.0,50.0,83.3,0,62.5,50.0,100.0,100.0,80.0,100.0,100.0,0,100.0,75.0,100.0,0,0,100.0,0.0,0,100.0,0,0,100.0,0,0,0,0,0,0,0,0
2026-W09,86.0,76.1,75.0,77.4,82.8,80.0,80.0,87.8,79.2,87.5,75.0,87.0,100.0,88.5,87.1,0,90.9,93.3,70.0,100.0,50.0,0,100.0,100.0,100.0,75.0,80.0,0,50.0,0.0,50.0,0,50.0,0,0,0.0,100.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W10,85.9,65.9,83.2,77.9,81.0,74.5,85.3,90.2,81.5,84.4,82.0,71.7,0.0,84.4,80.8,0,60.0,79.2,90.0,100.0,83.3,77.2,85.7,100.0,87.5,25.0,100.0,0,75.0,0,100.0,100.0,60.0,100.0,0,100.0,50.0,0,0,0,100.0,0,0,0,0,0,0,0,0,0
