week,shop,unknown,product/pack-permis-complet,product/pack-permis-complet-sans-code,product/pack-permis-complet-sans-code-lead,product/pack-permis-complet-revolut,product/pack-permis-complet-boite-automatique,emailcrm,product/pack-permis-complet-boite-automatique-sans-code,product/pack-permis-complet-boite-automatique-sans-code-lead,product/pack-5h,product/pack-10h,product/conduite-accompagnee-first,product/pack-20h,product/pack-permis-complet-boite-automatique-revolut,emailcrmheader,product/pack-5h-boite-automatique,product/pack-10h-boite-automatique,checkout/pack-permis-complet,product/conduite-accompagnee-boite-automatique-first,checkout/pack-permis-complet-sans-code,infocards,checkout/pack-permis-complet-sans-code-lead,checkout/pack-permis-complet-boite-automatique,checkout/pack-permis-complet-revolut,checkout/pack-permis-complet-boite-automatique-sans-code-lead,checkout/pack-5h,checkout/conduite-accompagnee-first,checkout/pack-permis-complet-boite-automatique-sans-code,checkout/pack-5h-boite-automatique,product/rendez-vous-pedagogiques,checkout/pack-10h,checkout/pack-permis-complet-boite-automatique-revolut,chatbot_support,product/pack-permis-casa-nord-france,home_widget,checkout/pack-10h-boite-automatique,checkout/pack-20h,checkout/conduite-accompagnee-boite-automatique-first,product/pack-permis-boite-automatique-casa-nord-france,product/rendez-vous-pedagogiques-automatique,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,checkout/pack-permis-complet-et-reussite-code-plus,checkout/pack-permis-casa-nord-france,checkout/rendez-vous-pedagogiques,checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,checkout/pack-permis-boite-automatique-casa-nord-france,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,permis_widget
2026-W01,123,4,32,27,22,0,10,5,11,17,5,3,5,0,0,0,5,3,2,4,0,0,2,1,0,1,1,0,1,1,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-W02,467,14,177,112,82,0,50,35,40,42,27,30,42,0,0,0,13,12,13,12,11,0,8,3,0,3,1,4,2,2,2,0,0,20,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-W03,498,22,166,89,84,0,64,32,46,41,40,19,45,0,0,0,11,15,15,10,14,0,8,6,0,5,0,3,4,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-W04,586,27,145,108,72,0,56,41,42,45,25,28,47,0,0,0,7,13,16,19,7,0,5,4,0,3,3,4,0,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0
2026-W05,599,31,74,64,35,0,23,11,22,30,19,14,18,0,0,0,9,8,11,2,4,0,0,3,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W06,364,14,69,34,24,0,31,21,25,17,13,13,6,0,0,0,9,7,7,6,4,0,0,4,0,1,0,4,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0
2026-W07,498,41,97,70,46,0,32,52,38,28,16,21,20,8,0,0,5,10,10,5,3,0,6,2,0,4,1,3,0,1,1,2,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0
2026-W08,622,55,71,66,60,50,23,31,25,15,30,30,3,25,12,0,12,9,3,1,5,0,5,2,4,1,4,2,1,0,3,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2026-W09,533,51,81,89,77,92,28,36,42,42,36,40,6,23,27,0,20,14,7,5,1,0,8,1,2,3,4,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-W10,574,153,149,113,132,73,64,37,53,54,50,33,0,27,21,0,12,19,9,1,10,112,6,6,7,1,2,0,3,0,4,1,3,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2026-W11,574,110,130,96,124,54,58,44,53,45,41,31,1,41,26,0,20,12,4,1,6,69,6,7,6,5,2,0,6,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W12,382,236,85,61,61,50,20,28,39,25,41,23,0,24,19,1,12,13,6,0,9,2,5,1,8,3,5,0,3,1,1,0,1,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2026-W13,486,285,108,80,93,55,40,40,35,37,46,34,0,21,23,43,11,14,9,0,8,0,11,10,3,5,5,0,1,4,1,1,0,0,10,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0
2026-W14,375,319,75,76,75,60,31,58,37,41,38,25,6,26,19,38,7,6,4,2,8,0,11,4,1,3,4,1,2,4,2,4,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2026-W15,370,191,53,51,53,37,30,33,30,36,31,15,22,34,18,34,12,4,8,9,3,0,8,2,6,6,4,0,1,3,3,1,2,0,6,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2026-W16,489,202,85,51,90,49,24,35,33,31,39,28,34,25,19,38,11,8,13,14,9,0,9,6,4,5,9,2,5,2,4,5,3,0,7,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0
2026-W17,404,48,70,68,68,75,27,31,38,31,45,25,31,33,29,29,14,5,5,9,3,0,5,4,7,2,9,4,1,4,5,6,3,0,4,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0
2026-W18,381,28,49,56,56,71,21,29,22,28,29,23,29,33,21,15,15,8,4,7,3,0,12,5,11,2,3,4,5,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-W19,416,419,71,77,73,63,27,31,26,43,39,29,49,30,15,31,16,9,9,10,5,0,7,0,7,8,4,4,3,4,3,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-W20,440,234,55,64,59,71,30,44,33,29,32,22,28,34,25,35,8,6,8,2,10,0,6,7,8,4,3,5,3,4,2,2,2,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0
