day,wcb_raw,planned_u,called_u,reached_u,purchases_u,call_rate_pct,reach_rate_pct,conv_planned_pct,conv_reached_pct
2026-01-02,320,247,232,192,68,93.9,82.8,27.5,35.4
2026-01-03,160,124,118,98,40,95.2,83.1,32.3,40.8
2026-01-04,0,0,0,0,0,0,0,0,0
2026-01-05,652,475,238,193,100,50.1,81.1,21.1,51.8
2026-01-06,487,378,284,231,100,75.1,81.3,26.5,43.3
2026-01-07,430,331,297,244,104,89.7,82.2,31.4,42.6
2026-01-08,474,373,320,275,109,85.8,85.9,29.2,39.6
2026-01-09,391,310,285,236,84,91.9,82.8,27.1,35.6
2026-01-10,285,212,102,73,36,48.1,71.6,17.0,49.3
2026-01-11,0,0,0,0,0,0,0,0,0
2026-01-12,625,501,378,285,103,75.4,75.4,20.6,36.1
2026-01-13,391,311,287,226,82,92.3,78.7,26.4,36.3
2026-01-14,402,310,287,219,79,92.6,76.3,25.5,36.1
2026-01-15,312,261,261,208,78,100.0,79.7,29.9,37.5
2026-01-16,339,266,260,201,71,97.7,77.3,26.7,35.3
2026-01-17,212,174,142,113,43,81.6,79.6,24.7,38.1
2026-01-18,0,0,0,0,0,0,0,0,0
2026-01-19,546,420,298,239,103,71.0,80.2,24.5,43.1
2026-01-20,411,331,323,219,70,97.6,67.8,21.1,32.0
2026-01-21,486,375,342,276,92,91.2,80.7,24.5,33.3
2026-01-22,338,287,262,203,74,91.3,77.5,25.8,36.5
2026-01-23,456,347,317,263,97,91.4,83.0,28.0,36.9
2026-01-24,306,223,170,128,54,76.2,75.3,24.2,42.2
2026-01-25,0,0,0,0,0,0,0,0,0
2026-01-26,828,615,271,215,130,44.1,79.3,21.1,60.5
2026-01-27,668,483,325,247,140,67.3,76.0,29.0,56.7
2026-01-28,782,572,273,228,144,47.7,83.5,25.2,63.2
2026-01-29,768,549,280,220,128,51.0,78.6,23.3,58.2
2026-01-30,1039,723,36,24,129,5.0,66.7,17.8,537.5
2026-01-31,659,442,85,72,97,19.2,84.7,21.9,134.7
2026-02-01,0,0,0,0,0,0,0,0,0
2026-02-02,1328,936,136,97,147,14.5,71.3,15.7,151.5
2026-02-03,1001,670,62,35,110,9.3,56.5,16.4,314.3
2026-02-04,861,583,218,150,115,37.4,68.8,19.7,76.7
2026-02-05,871,595,243,159,122,40.8,65.4,20.5,76.7
2026-02-06,889,650,239,174,105,36.8,72.8,16.2,60.3
2026-02-07,580,411,139,78,64,33.8,56.1,15.6,82.1
2026-02-08,0,0,0,0,0,0,0,0,0
