page,wcb_raw,planned_u,called_u,reached_u,purchases_u,call_rate_pct,reach_rate_pct,conv_planned_pct,conv_reached_pct
shop,23025,14305,11138,9410,3497,77.9,84.5,24.4,37.2
unknown,6856,5535,4705,3250,1034,85.0,69.1,18.7,31.8
product/pack-permis-complet,4648,3412,2559,1964,757,75.0,76.7,22.2,38.5
product/pack-permis-complet-sans-code,3598,2442,1926,1521,784,78.9,79.0,32.1,51.5
product/pack-permis-complet-sans-code-lead,3232,2410,1952,1559,770,81.0,79.9,32.0,49.4
product/pack-permis-complet-revolut,1849,1458,1280,991,309,87.8,77.4,21.2,31.2
product/pack-permis-complet-boite-automatique,1760,1349,1003,785,310,74.4,78.3,23.0,39.5
emailcrm,1666,1348,1007,816,295,74.7,81.0,21.9,36.2
product/pack-permis-complet-boite-automatique-sans-code-lead,1559,1163,939,757,376,80.7,80.6,32.3,49.7
product/pack-5h,1418,1137,939,733,143,82.6,78.1,12.6,19.5
product/pack-permis-complet-boite-automatique-sans-code,1618,1124,897,720,378,79.8,80.3,33.6,52.5
product/pack-10h,1107,867,688,534,178,79.4,77.6,20.5,33.3
product/conduite-accompagnee-first,1026,796,595,474,213,74.7,79.7,26.8,44.9
emailcrmheader,601,490,420,347,79,85.7,82.6,16.1,22.8
product/pack-permis-complet-boite-automatique-revolut,608,481,423,350,125,87.9,82.7,26.0,35.7
product/pack-5h-boite-automatique,530,411,333,247,87,81.0,74.2,21.2,35.2
product/pack-20h,887,410,392,342,4,95.6,87.2,1.0,1.2
product/pack-10h-boite-automatique,484,379,285,216,85,75.2,75.8,22.4,39.4
checkout/pack-permis-complet,391,350,246,185,74,70.3,75.2,21.1,40.0
product/conduite-accompagnee-boite-automatique-first,327,268,190,147,71,70.9,77.4,26.5,48.3
checkout/pack-permis-complet-sans-code,300,263,177,140,76,67.3,79.1,28.9,54.3
infocards,291,258,237,181,71,91.9,76.4,27.5,39.2
checkout/pack-permis-complet-sans-code-lead,266,236,193,156,86,81.8,80.8,36.4,55.1
checkout/pack-permis-complet-boite-automatique,172,156,114,87,32,73.1,76.3,20.5,36.8
checkout/pack-permis-complet-revolut,148,132,116,95,32,87.9,81.9,24.2,33.7
checkout/pack-permis-complet-boite-automatique-sans-code-lead,140,126,97,79,36,77.0,81.4,28.6,45.6
checkout/pack-5h,127,119,99,74,22,83.2,74.7,18.5,29.7
checkout/pack-permis-complet-boite-automatique-sans-code,108,102,76,58,29,74.5,76.3,28.4,50.0
checkout/conduite-accompagnee-first,115,96,67,51,33,69.8,76.1,34.4,64.7
checkout/pack-5h-boite-automatique,91,81,61,42,10,75.3,68.9,12.3,23.8
checkout/pack-10h,75,70,52,40,10,74.3,76.9,14.3,25.0
product/rendez-vous-pedagogiques,89,50,45,39,1,90.0,86.7,2.0,2.6
checkout/pack-permis-complet-boite-automatique-revolut,54,50,43,30,9,86.0,69.8,18.0,30.0
product/pack-permis-casa-nord-france,47,38,34,31,8,89.5,91.2,21.1,25.8
chatbot_support,49,37,33,27,9,89.2,81.8,24.3,33.3
checkout/pack-10h-boite-automatique,31,29,26,17,7,89.7,65.4,24.1,41.2
home_widget,37,27,20,16,5,74.1,80.0,18.5,31.2
checkout/pack-20h,25,23,18,12,0,78.3,66.7,0.0,0.0
checkout/conduite-accompagnee-boite-automatique-first,23,21,16,11,5,76.2,68.8,23.8,45.5
product/rendez-vous-pedagogiques-automatique,13,10,10,10,0,100.0,100.0,0.0,0.0
product/pack-permis-boite-automatique-casa-nord-france,14,10,9,9,4,90.0,100.0,40.0,44.4
checkout/pack-permis-complet-et-reussite-code-plus,5,3,2,2,1,66.7,100.0,33.3,50.0
checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,2,2,2,1,0,100.0,50.0,0.0,0.0
checkout/rendez-vous-pedagogiques,2,2,2,2,0,100.0,100.0,0.0,0.0
checkout/pack-permis-casa-nord-france,2,2,2,1,0,100.0,50.0,0.0,0.0
permis_widget,1,1,0,0,0,0.0,0,0.0,0
checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,1,1,1,1,1,100.0,100.0,100.0,100.0
emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,1,1,1,1,1,100.0,100.0,100.0,100.0
checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,6,1,1,1,0,100.0,100.0,0.0,0.0
checkout/pack-permis-boite-automatique-casa-nord-france,1,1,1,1,0,100.0,100.0,0.0,0.0
