week,wcb_raw,planned_u,called_u,reached_u,purchases_u,call_rate_pct,reach_rate_pct,conv_planned_pct,conv_reached_pct
2026-W01,480,368,348,288,107,94.6,82.8,29.1,37.2
2026-W02,2719,1832,1423,1185,490,77.7,83.3,26.7,41.4
2026-W03,2281,1698,1534,1210,431,90.3,78.9,25.4,35.6
2026-W04,2543,1806,1603,1259,461,88.8,78.5,25.5,36.6
2026-W05,4744,2850,1204,963,693,42.2,80.0,24.3,72.0
2026-W06,5530,3168,972,669,588,30.7,68.8,18.6,87.9
2026-W07,3892,2368,1313,994,506,55.4,75.7,21.4,50.9
2026-W08,2635,1744,1421,1134,410,81.5,79.8,23.5,36.2
2026-W09,2016,1458,1418,1222,396,97.3,86.2,27.2,32.4
2026-W10,2847,2093,1991,1649,572,95.1,82.8,27.3,34.7
2026-W11,2727,1948,1818,1502,484,93.3,82.6,24.8,32.2
2026-W12,1904,1352,1328,1117,328,98.2,84.1,24.3,29.4
2026-W13,2640,1928,1797,1456,454,93.2,81.0,23.5,31.2
2026-W14,2990,2054,1672,1305,447,81.4,78.1,21.8,34.3
2026-W15,2474,1682,1299,1069,399,77.2,82.3,23.7,37.3
2026-W16,2367,1682,1588,1324,458,94.4,83.4,27.2,34.6
2026-W17,1734,1299,1285,1093,345,98.9,85.1,26.6,31.6
2026-W18,1712,1211,1122,948,320,92.7,84.5,26.4,33.8
2026-W19,2703,1993,1809,1455,527,90.8,80.4,26.4,36.2
2026-W20,2005,1543,1532,1271,407,99.3,83.0,26.4,32.0
2026-W21,1968,1494,1486,1283,335,99.5,86.3,22.4,26.1
2026-W22,1577,1242,1216,1025,304,97.9,84.3,24.5,29.7
2026-W23,2938,2175,1964,1584,450,90.3,80.7,20.7,28.4
